audio,video,label,speaker,session,split
audio/train_000.wav,video/train_000.npy,0,spk0,1,train
audio/train_001.wav,video/train_001.npy,1,spk1,2,train
audio/train_002.wav,video/train_002.npy,2,spk2,3,train
audio/train_003.wav,video/train_003.npy,3,spk3,4,train
audio/train_004.wav,video/train_004.npy,0,spk4,5,train
audio/train_005.wav,video/train_005.npy,1,spk5,1,train
audio/train_006.wav,video/train_006.npy,2,spk6,2,train
audio/train_007.wav,video/train_007.npy,3,spk7,3,train
audio/train_008.wav,video/train_008.npy,0,spk0,4,train
audio/train_009.wav,video/train_009.npy,1,spk1,5,train
audio/train_010.wav,video/train_010.npy,2,spk2,1,train
audio/train_011.wav,video/train_011.npy,3,spk3,2,train
audio/train_012.wav,video/train_012.npy,0,spk4,3,train
audio/train_013.wav,video/train_013.npy,1,spk5,4,train
audio/train_014.wav,video/train_014.npy,2,spk6,5,train
audio/train_015.wav,video/train_015.npy,3,spk7,1,train
audio/train_016.wav,video/train_016.npy,0,spk0,2,train
audio/train_017.wav,video/train_017.npy,1,spk1,3,train
audio/train_018.wav,video/train_018.npy,2,spk2,4,train
audio/train_019.wav,video/train_019.npy,3,spk3,5,train
audio/train_020.wav,video/train_020.npy,0,spk4,1,train
audio/train_021.wav,video/train_021.npy,1,spk5,2,train
audio/train_022.wav,video/train_022.npy,2,spk6,3,train
audio/train_023.wav,video/train_023.npy,3,spk7,4,train
audio/train_024.wav,video/train_024.npy,0,spk0,5,train
audio/train_025.wav,video/train_025.npy,1,spk1,1,train
audio/train_026.wav,video/train_026.npy,2,spk2,2,train
audio/train_027.wav,video/train_027.npy,3,spk3,3,train
audio/train_028.wav,video/train_028.npy,0,spk4,4,train
audio/train_029.wav,video/train_029.npy,1,spk5,5,train
audio/train_030.wav,video/train_030.npy,2,spk6,1,train
audio/train_031.wav,video/train_031.npy,3,spk7,2,train
audio/val_000.wav,video/val_000.npy,0,spk0,1,val
audio/val_001.wav,video/val_001.npy,1,spk1,2,val
audio/val_002.wav,video/val_002.npy,2,spk2,3,val
audio/val_003.wav,video/val_003.npy,3,spk3,4,val
audio/val_004.wav,video/val_004.npy,0,spk4,5,val
audio/val_005.wav,video/val_005.npy,1,spk5,1,val
audio/val_006.wav,video/val_006.npy,2,spk6,2,val
audio/val_007.wav,video/val_007.npy,3,spk7,3,val
audio/val_008.wav,video/val_008.npy,0,spk0,4,val
audio/val_009.wav,video/val_009.npy,1,spk1,5,val
audio/val_010.wav,video/val_010.npy,2,spk2,1,val
audio/val_011.wav,video/val_011.npy,3,spk3,2,val
audio/val_012.wav,video/val_012.npy,0,spk4,3,val
audio/val_013.wav,video/val_013.npy,1,spk5,4,val
audio/val_014.wav,video/val_014.npy,2,spk6,5,val
audio/val_015.wav,video/val_015.npy,3,spk7,1,val
